MMSI,BaseDateTime,LAT,LON,hours,minutes,seconds
367702220,2022-03-31 00:00:01,29.78763,-95.0807,0,0,1
671226100,2022-03-31 00:00:01,25.77626,-80.2032,0,0,1
367767250,2022-03-31 00:00:01,29.31623,-94.78829,0,0,1
338327436,2022-03-31 00:00:03,47.29634,-122.42233,0,0,3
367452810,2022-03-31 00:00:06,29.32824,-94.77391,0,0,6
367616350,2022-03-31 00:00:06,31.15502,-81.49931,0,0,6
367402540,2022-03-31 00:00:03,38.39598,-85.62818,0,0,3
366919770,2022-03-31 00:00:09,48.74428,-122.49504,0,0,9
538006349,2022-03-31 00:00:09,48.48308,-125.05758,0,0,9
367315790,2022-03-31 00:00:10,45.5735,-122.46526,0,0,10
366918650,2022-03-31 00:00:00,32.08183,-81.0654,0,0,0
311000966,2022-03-31 00:00:00,18.55833,-66.4791,0,0,0
368040430,2022-03-31 00:00:03,27.50168,-82.57269,0,0,3
367375730,2022-03-31 00:00:05,29.36345,-94.90856,0,0,5
338410861,2022-03-31 00:00:05,47.80646,-122.39279,0,0,5
316007566,2022-03-31 00:00:08,49.19279,-122.92069,0,0,8
338424624,2022-03-31 00:00:09,29.55824,-95.02928,0,0,9
367015950,2022-03-31 00:00:09,29.26563,-89.35339,0,0,9
367121850,2022-03-31 00:00:15,32.58144,-91.12419,0,0,15
338233531,2022-03-31 00:00:15,47.62901,-122.39115,0,0,15
368206360,2022-03-31 00:00:00,47.60131,-122.33908,0,0,0
368004920,2022-03-31 00:00:01,39.78632,-91.36278,0,0,1
219028420,2022-03-31 00:00:01,28.66703,-93.59339,0,0,1
367774150,2022-03-31 00:00:02,30.0691,-90.90375,0,0,2
367534010,2022-03-31 00:00:03,30.15823,-90.9973,0,0,3
354499000,2022-03-31 00:00:04,29.18968,-94.63571,0,0,4
368926035,2022-03-31 00:00:04,38.58866,-90.20667,0,0,4
368070780,2022-03-31 00:00:05,21.31383,-157.86673,0,0,5
368112480,2022-03-31 00:00:07,48.10715,-122.77666,0,0,7
368044430,2022-03-31 00:00:08,29.76417,-95.10827,0,0,8
367696750,2022-03-31 00:00:08,25.57446,-79.63322,0,0,8
367384780,2022-03-31 00:00:08,45.58756,-122.7707,0,0,8
367560990,2022-03-31 00:00:09,27.63564,-82.56339,0,0,9
367743710,2022-03-31 00:00:01,33.00909,-79.92096,0,0,1
368163520,2022-03-31 00:00:01,37.1654,-89.08592,0,0,1
368157190,2022-03-31 00:00:09,47.64453,-122.31387,0,0,9
367625810,2022-03-31 00:00:01,33.768,-118.22268,0,0,1
368123940,2022-03-31 00:00:04,33.61557,-117.90354,0,0,4
356436000,2022-03-31 00:00:00,26.06004,-80.13008,0,0,0
369494415,2022-03-31 00:00:02,30.1703,-85.75557,0,0,2
338361065,2022-03-31 00:00:06,47.66621,-122.38829,0,0,6
366972280,2022-03-31 00:00:04,29.77964,-95.09884,0,0,4
368220140,2022-03-31 00:00:07,18.34024,-64.79517,0,0,7
368132890,2022-03-31 00:00:07,28.40915,-80.66608,0,0,7
368098250,2022-03-31 00:00:08,25.75557,-80.18413,0,0,8
367438530,2022-03-31 00:00:01,29.71237,-93.16237,0,0,1
366999521,2022-03-31 00:00:02,38.58757,-90.20843,0,0,2
338073736,2022-03-31 00:00:04,24.55644,-81.80798,0,0,4
367482310,2022-03-31 00:00:04,18.00574,-66.7651,0,0,4
367543860,2022-03-31 00:00:04,40.49733,-80.07156,0,0,4
316029864,2022-03-31 00:00:05,49.16322,-122.99342,0,0,5
211334250,2022-03-31 00:00:08,30.15486,-85.63739,0,0,8
368067690,2022-03-31 00:00:08,37.04757,-89.18079,0,0,8
367369920,2022-03-31 00:00:09,29.59827,-90.67256,0,0,9
367446290,2022-03-31 00:00:14,29.78458,-92.15265,0,0,14
368216940,2022-03-31 00:00:16,26.76049,-82.0561,0,0,16
366960370,2022-03-31 00:00:19,48.49213,-122.68009,0,0,19
367079510,2022-03-31 00:00:00,29.95973,-90.29093,0,0,0
366816890,2022-03-31 00:00:01,29.54576,-90.70128,0,0,1
338425161,2022-03-31 00:00:05,26.00176,-80.12194,0,0,5
316047137,2022-03-31 00:00:05,26.0621,-80.13147,0,0,5
636019181,2022-03-31 00:00:05,28.18381,-94.41764,0,0,5
368013140,2022-03-31 00:00:08,18.31738,-64.95761,0,0,8
367309420,2022-03-31 00:00:09,46.08923,-122.9286,0,0,9
338247984,2022-03-31 00:00:00,30.38756,-86.3275,0,0,0
367641670,2022-03-31 00:00:01,37.77062,-87.94571,0,0,1
368176970,2022-03-31 00:00:01,26.05949,-80.13327,0,0,1
367432090,2022-03-31 00:00:01,29.78887,-92.14719,0,0,1
367081260,2022-03-31 00:00:07,47.63432,-122.32909,0,0,7
368194140,2022-03-31 00:00:06,47.65716,-122.38106,0,0,6
367650190,2022-03-31 00:00:05,30.50862,-91.24222,0,0,5
367080810,2022-03-31 00:00:05,29.99594,-92.79041,0,0,5
366919170,2022-03-31 00:00:03,37.06173,-88.48093,0,0,3
367384460,2022-03-31 00:00:05,46.45919,-124.57193,0,0,5
338124129,2022-03-31 00:00:06,25.95753,-80.12754,0,0,6
368051280,2022-03-31 00:00:06,45.60226,-122.62865,0,0,6
366759130,2022-03-31 00:00:01,47.79657,-122.46426,0,0,1
367153110,2022-03-31 00:00:01,27.83528,-97.38628,0,0,1
367394940,2022-03-31 00:00:01,28.41571,-80.62341,0,0,1
